Job Title,Rating,Salary Estimate Min,Salary Estimate Max,CompanyName,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Principal Machine Learning Scientist,4.7,$56K,$97K ,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,
Data Engineer,4.1,$56K,$97K ,Shape Security,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,,
Principal Data Scientist,4,$56K,$97K ,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Data Scientist,5,$56K,$97K ,SkillSoniq,"San Francisco, CA","Jersey City, NJ",Unknown,,Company - Public,,,,
Senior Data Scientist - R&D Oncology,4,$56K,$97K ,AstraZeneca,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Data Scientist,4.3,$56K,$97K ,Joby Aviation,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,,Company - Private,,,,
"Health Plan Data Analyst, Sr",3.8,$56K,$97K ,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Children's Health, Texas Health Resources, Baylor Scott & White Health"
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.8,$56K,$97K ,Rubius Therapeutics,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),
Analytics - Business Assurance Data Analyst,4.6,$56K,$97K ,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),
Data Scientist - Contract,4.1,$79K,$106K ,Upside Business Travel,Remote,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,,
Data Scientist,3.4,$79K,$106K ,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),
Data Scientist,4.1,$79K,$106K ,Coverent,"McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),
Machine Learning Engineer,3.7,$79K,$106K ,Mteq,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek"
Data Engineer,4.4,$79K,$106K ,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",3.9,$79K,$106K ,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),
Data Engineer,3.6,$79K,$106K ,Alion Science & Technology,"Linthicum Heights, MD","Mc Lean, VA",1001 to 5000 employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD),
Data Science Instructor,4.5,$79K,$106K ,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
Senior Business Intelligence Analyst,3.7,$79K,$106K ,Protolabs,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),
In-Line Inspection Data Analyst,2.9,$79K,$106K ,Quest Integrity,"Tulsa, OK","Kent, WA",201 to 500 employees,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),
Data Scientist - TS/SCI FSP or CI Required,5,$79K,$106K ,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),
Data Scientist,3.4,$79K,$106K ,Dice.com,"Newton, MA","Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Monster Worldwide, CareerBuilder, Craigslist"
Senior Data Scientist,3.5,$79K,$106K ,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),
Data Scientist - TS/SCI Required,5,$79K,$106K ,Phoenix Operations Group,"Baltimore, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),
Data Science Software Engineer,4.8,$79K,$106K ,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,,
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,$79K,$106K ,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International"
AI Ops Data Scientist,4,$79K,$106K ,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
"Intelligence Data Analyst, Senior",4.3,$79K,$106K ,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos"
Analytics Manager - Data Mart,3.5,$79K,$106K ,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),
Data Modeler (Analytical Systems),3.7,$79K,$106K ,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),
"Senior Machine Learning Scientist - Bay Area, CA",3.3,$79K,$106K ,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Report Writer-Data Analyst,3.1,$79K,$106K ,Security Finance Corporation of Spartanburg,"Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,1955,Company - Private,Lending,Finance,,
Data Scientist/Machine Learning,4.3,$71K,$123K ,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk"
Data Scientist - Risk,4.2,$71K,$123K ,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),
Data Engineer,4.4,$71K,$123K ,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),
Staff Data Scientist - Pricing,3.6,$71K,$123K ,Opendoor,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,2014,Company - Private,Real Estate,Real Estate,$2 to $5 billion (USD),
Data Scientist,4.5,$71K,$123K ,Global Data Management Inc,"Hartford, CT","Woodbridge, NJ",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),
Data Scientist,3,$71K,$123K ,Photon Infotech,"Chicago, IL","Chennai, India",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),
Data Scientist,5,$71K,$123K ,REE,United States,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018,Company - Private,Transportation Equipment Manufacturing,Manufacturing,,
Machine Learning Engineer,3.6,$71K,$123K ,Riverside Research Institute,"Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),
Equity Data Insights Analyst - Quantitative Analyst,3.6,$71K,$123K ,T. Rowe Price,"Baltimore, MD","Baltimore, MD",5001 to 10000 employees,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),
Data Scientist,,$71K,$123K ,"Encode, Inc.","Norfolk, VA","Manalapan, NJ",1 to 50 employees,,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),
Research Scientist - Patient-Centered Research (Remote),3.8,$71K,$123K ,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON"
Data Scientist,3.3,$71K,$123K ,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),
Operations Data Analyst,3.8,$71K,$123K ,Brighthouse Financial,"Charlotte, NC","Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Insurance,,
Sr. Data Scientist II,3.5,$71K,$123K ,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),
Data Scientist,3.3,$71K,$123K ,II-VI Incorporated,"Champaign, IL","Saxonburg, PA",10000+ employees,1971,Company - Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion (USD),"Lumentum Operations, Keysight Technologies, O-Net Technologies"
Data Scientist,4.6,$71K,$123K ,Surya Systems,"San Francisco, CA","Bristol, PA",1 to 50 employees,,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),
Data Scientist,3.8,$71K,$123K ,PayPal,Texas,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Square, Amazon, Apple"
Senior Data Analyst,3.9,$71K,$123K ,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,,
Data Scientist,3.9,$71K,$123K ,Predictive Research Inc,"Plano, TX","Bangalore, India",1 to 50 employees,,Company - Private,Consulting,Business Services,,
Data Scientist,4.7,$90K,$124K ,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),
Senior Research Statistician- Data Scientist,4.8,$90K,$124K ,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),
Software Data Engineer,3.1,$90K,$124K ,1010data,"New York, NY","New York, NY",201 to 500 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),
Data Scientist,3.6,$90K,$124K ,Gigya,"Palo Alto, CA","Mountain View, CA",201 to 500 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),
Real World Evidence (RWE) Scientist,5,$90K,$124K ,Genesis Research,"Hoboken, NJ","Hoboken, NJ",1 to 50 employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Data Scientist,3.7,$90K,$124K ,Sanofi,"Cambridge, MA","Paris, France",10000+ employees,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, GlaxoSmithKline"
Data Scientist,3.7,$90K,$124K ,XPO Logistics,"Lebanon, IN","Greenwich, CT",10000+ employees,2011,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),"DHL Supply Chain, UPS, FedEx"
Data Scientist,3.9,$90K,$124K ,Trace Data,"Oakland, CA","Santa Ana, CA",51 to 200 employees,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),
Data Scientist,4.3,$90K,$124K ,Descript,"San Francisco, CA","Houston, TX",1 to 50 employees,,Company - Private,,,Less than $1 million (USD),
Computer Scientist 1,4.2,$90K,$124K ,Rincon Research Corporation,"Melbourne, FL","Tucson, AZ",201 to 500 employees,1983,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory"
Lead Data Scientist,3.7,$90K,$124K ,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),
Data Scientist,4,$90K,$124K ,Better Hire,"Birmingham, AL","Birmingham, AL",1 to 50 employees,,Company - Private,,,,
Data Scientist,3.3,$90K,$124K ,Parker Hannifin,"Cleveland, OH","Cleveland, OH",10000+ employees,1917,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"Eaton, SMC Corporation, Bosch Rexroth"
Data Scientist,4.1,$90K,$124K ,Gallup,"New York, NY","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,,"Advisory Board, Booz Allen Hamilton, McKinsey & Company"
Data Scientist,3.3,$90K,$124K ,Insider Inc,"New York, NY","New York, NY",201 to 500 employees,2007,Company - Private,News Outlet,Media,$50 to $100 million (USD),
Data Scientist,3.9,$90K,$124K ,Rapid Value Solutions,"San Francisco, CA","Pleasanton, CA",201 to 500 employees,2009,Company - Private,IT Services,Information Technology,,
Environmental Data Science,3.1,$90K,$124K ,Battelle,"Norwell, MA","Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),
Computational Behavioral Scientist,4.2,$90K,$124K ,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8"
Data Scientist,5,$90K,$124K ,"The Drive Media, Inc.","New York, NY",,Unknown,,Unknown,,,,
Staff BI and Data Engineer,2.9,$90K,$124K ,Affinity Solutions,"San Jose, CA","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,,"Commerce Signals, Cardlytics, Yodlee"
Principal Machine Learning Scientist,4.7,$90K,$124K ,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,
Principal Data Scientist - Machine Learning,3.6,$90K,$124K ,Constant Contact,"Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,,"Drip, iContact, Mailchimp"
Data Scientist-Human Resources,3.8,$91K,$150K ,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,
Associate Data Scientist,3.3,$91K,$150K ,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),
"Data Scientist - Statistics, Mid-Career",3.7,$91K,$150K ,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
Director of Data Science,3.8,$91K,$150K ,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),
Data Scientist,3.2,$91K,$150K ,US Pharmacopeia,"Rockville, MD","Rockville, MD",1001 to 5000 employees,1820,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),
Data Scientist,4.6,$91K,$150K ,Itlize Global,"Piscataway, NJ","Piscataway, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),
Data Scientist,3.5,$91K,$150K ,eBay,"San Jose, CA","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple"
"Data Engineer, Digital & Comp Pathology",5,$91K,$150K ,Paige,"New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Data Engineer,4.1,$91K,$150K ,Shape Security,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,,
"Manager / Lead, Data Science & Analytics",4.1,$91K,$150K ,ABIOMED,"Danvers, MA","Danvers, MA",1001 to 5000 employees,1981,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covidien, Boston Scientific"
Data Scientist,3.5,$91K,$150K ,Comcast,"New York, NY","Philadelphia, PA",10000+ employees,1963,Company - Public,,,$10+ billion (USD),"AT&T, Verizon"
Data Scientist,3.2,$91K,$150K ,"Metronome, LLC","Vienna, VA","Fairfax, VA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),
Data Scientist,5,$91K,$150K ,SkillSoniq,"San Francisco, CA","Jersey City, NJ",Unknown,,Company - Public,,,,
Data Scientist,4.7,$91K,$150K ,Lawrence Livermore National Lab,"Livermore, CA","Livermore, CA",1001 to 5000 employees,1952,Government,Federal Agencies,Government,$1 to $2 billion (USD),"Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories"
Diversity and Inclusion Data Analyst,3.8,$91K,$150K ,FHLBank Pittsburgh,"Pittsburgh, PA","Pittsburgh, PA",201 to 500 employees,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),
Data Scientist,3.6,$91K,$150K ,Jacobs,"Herndon, VA","Dallas, TX",10000+ employees,1947,Company - Public,Architectural & Engineering Services,Business Services,$10+ billion (USD),"Fluor, Bechtel, AECOM"
Data Scientist,4.8,$91K,$150K ,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,,
Data Scientist,3.3,$91K,$150K ,Underwriters Laboratories,"Northbrook, IL","Northbrook, IL",10000+ employees,1894,Company - Private,Consulting,Business Services,$2 to $5 billion (USD),"Intertek, SGS, Bureau Veritas"
Data Scientist,3.7,$91K,$150K ,Altus Group,"Irvine, CA","Toronto, Canada",1001 to 5000 employees,2005,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),
Data Scientist,5,$91K,$150K ,Jobot,"Irvine, CA","Irvine, CA",51 to 200 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),
Data Scientist,,$91K,$150K ,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,,Company - Private,,,,
Senior Analyst/Data Scientist,3.4,$141K,$225K ,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"TrueCar, Cars.com, Kelley Blue Book"
Data Scientist,5,$141K,$225K ,Cohere Health,"Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,,
Data Scientist,,$141K,$225K ,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,,Company - Private,,,,
Senior Data Scientist - R&D Oncology,4,$141K,$225K ,AstraZeneca,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Data Scientist,4.2,$141K,$225K ,Oshkosh Corporation,"Oshkosh, WI","Oshkosh, WI",10000+ employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),"Lockheed Martin, Caterpillar, John Deere"
Data Scientist,4.3,$141K,$225K ,Joby Aviation,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,,Company - Private,,,,
Data Scientist,3.4,$141K,$225K ,Mackin,"Menlo Park, CA","Pittsburgh, PA",51 to 200 employees,1960,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),
Data Scientist,,$141K,$225K ,PETADATA,"San Francisco, CA","Fremont, CA",51 to 200 employees,,Company - Private,,,,
Data Scientist,4.4,$141K,$225K ,VBeyond Corporation,"Dallas, TX","Hillsborough, NJ",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),
Data Scientist Machine Learning,3.5,$141K,$225K ,Leidos,"Arlington, VA","Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),
Data Scientist,3.7,$141K,$225K ,Take-Two,"San Francisco, CA","New York, NY",1001 to 5000 employees,1993,Company - Public,Video Games,Media,$1 to $2 billion (USD),"Activision Blizzard, Electronic Arts"
Data Scientist,3.7,$141K,$225K ,Colony Brands,"Monroe, WI","Monroe, WI",501 to 1000 employees,,Company - Private,Food & Beverage Stores,Retail,$100 to $500 million (USD),
Data Scientist,4.1,$141K,$225K ,Capio Group,"Sacramento, CA","Goteborg, Sweden",10000+ employees,,Hospital,Health Care Services & Hospitals,Health Care,,
Data Scientist,3.4,$141K,$225K ,SleePare,"New York, NY","New York, NY",1 to 50 employees,2017,Company - Private,Other Retail Stores,Retail,,
Data Analyst,4.5,$141K,$225K ,ShorePoint,"Reston, VA","Washington, DC",1 to 50 employees,2017,Company - Private,IT Services,Information Technology,,
Data Scientist,3.5,$141K,$225K ,Dolphin,"New York, NY","Lake Buena Vista, FL",1001 to 5000 employees,1990,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,,
Data Scientist,3.6,$141K,$225K ,TE Connectivity,"Hampton, VA","Schaffhausen, Switzerland",10000+ employees,2007,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),
Data Scientist,3.2,$141K,$225K ,State of Virginia,"Richmond, VA","Richmond, VA",10000+ employees,1788,Government,State & Regional Agencies,Government,$10+ billion (USD),
Data Scientist,3.7,$141K,$225K ,TA Digital,"New York, NY","Newark, CA",501 to 1000 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),
Data Scientist,4,$141K,$225K ,Market America Inc,"Monterey, CA","Greensboro, NC",501 to 1000 employees,1992,Company - Private,Other Retail Stores,Retail,$100 to $500 million (USD),
Data Scientist,3.2,$145K,$225K,Triplebyte,"Chicago, IL","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,,
Data Scientist,4.5,$145K,$225K,Kingfisher Systems,"McLean, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),
Chief Scientist,3.4,$145K,$225K,TrueAccord,Remote,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Data Scientist,3.9,$145K,$225K,ALTA IT Services,"Woodlawn, MD","Rockville, MD",201 to 500 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),
Data Scientist,3.2,$145K,$225K,Kollasoft Inc.,United States,"Scottsdale, AZ",1 to 50 employees,,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),
Data Scientist,5,$145K,$225K,Kollasoft Inc.,"New York, NY","Irving, TX",Unknown,,Company - Public,,,,
Data Scientist,3.4,$145K,$225K,ASRC Federal Holding Company,"Reston, VA","Beltsville, MD",5001 to 10000 employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),
Data Scientist,4.4,$145K,$225K,Adwait Algorithm,"New York, NY","Houston, TX",51 to 200 employees,2015,Company - Private,IT Services,Information Technology,,
"Health Plan Data Analyst, Sr",3.8,$145K,$225K,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Children's Health, Texas Health Resources, Baylor Scott & White Health"
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.8,$145K,$225K,Rubius Therapeutics,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),
Data Scientist,3.5,$145K,$225K,Cambridge FX,"Atlanta, GA","Toronto, Canada",201 to 500 employees,1992,Company - Public,Financial Transaction Processing,Finance,$100 to $500 million (USD),
Senior Data Scientist,3.8,$145K,$225K,Metromile,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2011,Company - Private,Insurance Carriers,Insurance,,
Data Scientist,3.9,$145K,$225K,Criteo,"Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus"
Data Scientist,3.4,$145K,$225K,Advance Sourcing Concepts,"Pittsburgh, PA","Pittsburgh, PA",51 to 200 employees,,Company - Private,,,$1 to $5 million (USD),
Data Scientist,3.8,$145K,$225K,Enterprise Solutions Inc,"New York, NY","Naperville, IL",51 to 200 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),
Analytics - Business Assurance Data Analyst,4.6,$145K,$225K,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),
Data Scientist,,$145K,$225K,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),
Data Scientist,4.6,$145K,$225K,"Conch Technologies, Inc","Concord, CA","Memphis, TN",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),
"Development Scientist, Voltaren",3.9,$145K,$225K,GSK,"Richmond, VA","Brentford, United Kingdom",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, AstraZeneca, Merck"
Data Scientist,,$145K,$225K,"Rainmaker Resources, LLC","Cincinnati, OH","Cincinnati, OH",1 to 50 employees,,Company - Private,,,,
Data Scientist,3.7,$79K,$147K ,GovTech,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Federal Agencies,Government,,
Data Scientist,3.3,$79K,$147K ,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,,
Data Engineer,4.4,$79K,$147K ,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),
Data Scientist,3.7,$79K,$147K ,22nd Century Technologies,"Oakland, CA","Somerset, NJ",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),
Data Scientist,3.3,$79K,$147K ,Huxley,"San Francisco, CA","London, United Kingdom",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),
Data Scientist,3.4,$79K,$147K ,FM Systems,"Boston, MA","Raleigh, NC",51 to 200 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),"Archibus, iOffice, Planon"
Data Scientist,,$79K,$147K ,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,,Company - Private,IT Services,Information Technology,,
Machine Learning Engineer,3.7,$79K,$147K ,Mteq,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek"
Principal Data & Analytics Platform Engineer,3.7,$79K,$147K ,Blue Cross and Blue Shield of North Carolina,"Durham, NC","Durham, NC",1001 to 5000 employees,1933,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),
